goos: windows
goarch: amd64
pkg: inmemcache
cpu: Intel(R) Core(TM) i7-14700K
                                            │ results/bench.txt │
                                            │      sec/op       │
Cache/impl=otter/dist=zipf/mix=r100-2             67.39n ±  10%
Cache/impl=otter/dist=zipf/mix=r100-4             27.98n ±   1%
Cache/impl=otter/dist=zipf/mix=r100-8             13.46n ±   1%
Cache/impl=otter/dist=zipf/mix=r90                161.1n ±   1%
Cache/impl=otter/dist=zipf/mix=r90-2              81.82n ±   3%
Cache/impl=otter/dist=zipf/mix=r90-4              45.66n ±   1%
Cache/impl=otter/dist=zipf/mix=r90-8              30.32n ±   3%
Cache/impl=otter/dist=zipf/mix=r50                287.6n ±   2%
Cache/impl=otter/dist=zipf/mix=r50-2              156.6n ±   1%
Cache/impl=otter/dist=zipf/mix=r50-4              117.7n ±   1%
Cache/impl=otter/dist=zipf/mix=r50-8              124.3n ±   1%
Cache/impl=otter/dist=zipf/mix=r10                375.1n ±   2%
Cache/impl=otter/dist=zipf/mix=r10-2              207.4n ±   1%
Cache/impl=otter/dist=zipf/mix=r10-4              197.9n ±   1%
Cache/impl=otter/dist=zipf/mix=r10-8              208.1n ±   1%
Cache/impl=sharded/dist=uniform/mix=r100          148.2n ±   1%
Cache/impl=sharded/dist=uniform/mix=r100-2        74.57n ±   1%
Cache/impl=sharded/dist=uniform/mix=r100-4        38.68n ±   1%
Cache/impl=sharded/dist=uniform/mix=r100-8        21.66n ±   1%
Cache/impl=sharded/dist=uniform/mix=r90           148.1n ±   2%
Cache/impl=sharded/dist=uniform/mix=r90-2         77.44n ±   2%
Cache/impl=sharded/dist=uniform/mix=r90-4         40.57n ±   1%
Cache/impl=sharded/dist=uniform/mix=r90-8         22.62n ±   1%
Cache/impl=sharded/dist=uniform/mix=r50           148.2n ±   4%
Cache/impl=sharded/dist=uniform/mix=r50-2         84.10n ±   3%
Cache/impl=sharded/dist=uniform/mix=r50-4         42.95n ±   2%
Cache/impl=sharded/dist=uniform/mix=r50-8         24.36n ±   2%
Cache/impl=sharded/dist=uniform/mix=r10           160.2n ±   1%
Cache/impl=sharded/dist=uniform/mix=r10-2         84.15n ±   1%
Cache/impl=sharded/dist=uniform/mix=r10-4         44.49n ±   1%
Cache/impl=sharded/dist=uniform/mix=r10-8         25.56n ±   2%
Cache/impl=sharded/dist=zipf/mix=r100             97.48n ±   1%
Cache/impl=sharded/dist=zipf/mix=r100-2           51.64n ±   1%
Cache/impl=sharded/dist=zipf/mix=r100-4           28.71n ±   1%
Cache/impl=sharded/dist=zipf/mix=r100-8           18.17n ±   2%
Cache/impl=sharded/dist=zipf/mix=r90              97.72n ±   2%
Cache/impl=sharded/dist=zipf/mix=r90-2            57.22n ±   0%
Cache/impl=sharded/dist=zipf/mix=r90-4            34.59n ±   1%
Cache/impl=sharded/dist=zipf/mix=r90-8            23.31n ±   1%
Cache/impl=sharded/dist=zipf/mix=r50              106.3n ±   1%
Cache/impl=sharded/dist=zipf/mix=r50-2            67.40n ±   1%
Cache/impl=sharded/dist=zipf/mix=r50-4            42.97n ±   1%
Cache/impl=sharded/dist=zipf/mix=r50-8            30.72n ±   1%
Cache/impl=sharded/dist=zipf/mix=r10              105.8n ±   3%
Cache/impl=sharded/dist=zipf/mix=r10-2            69.28n ±   2%
Cache/impl=sharded/dist=zipf/mix=r10-4            44.10n ±   1%
Cache/impl=sharded/dist=zipf/mix=r10-8            34.58n ±   2%
Cache/impl=cow/dist=uniform/mix=r100              103.3n ±   2%
Cache/impl=cow/dist=uniform/mix=r100-2            48.61n ±   1%
Cache/impl=cow/dist=uniform/mix=r100-4            23.90n ±   1%
Cache/impl=cow/dist=uniform/mix=r100-8            12.04n ±   1%
Cache/impl=cow/dist=zipf/mix=r100                 72.90n ±   2%
Cache/impl=cow/dist=zipf/mix=r100-2               33.95n ±   1%
Cache/impl=cow/dist=zipf/mix=r100-4               15.94n ±   1%
Cache/impl=cow/dist=zipf/mix=r100-8               7.680n ±   1%
Cache/impl=cow/dist=uniform/mix=r90               16.62m ±  53%
Cache/impl=cow/dist=uniform/mix=r90-2             6.424m ± 172%
Cache/impl=cow/dist=uniform/mix=r90-4             10.64m ±  98%
Cache/impl=cow/dist=uniform/mix=r90-8             10.53m ±  52%
Cache/impl=cow/dist=uniform/mix=r50               72.82m ±  27%
Cache/impl=cow/dist=uniform/mix=r50-2             50.76m ±  32%
Cache/impl=cow/dist=uniform/mix=r50-4             52.36m ±  10%
Cache/impl=cow/dist=uniform/mix=r50-8             55.71m ±  26%
Cache/impl=cow/dist=uniform/mix=r10               129.6m ±   6%
Cache/impl=cow/dist=uniform/mix=r10-2             103.9m ±   8%
Cache/impl=cow/dist=uniform/mix=r10-4             99.31m ±  10%
Cache/impl=cow/dist=uniform/mix=r10-8             93.66m ±   7%
Cache/impl=cow/dist=zipf/mix=r90                  16.63m ±  55%
Cache/impl=cow/dist=zipf/mix=r90-2                6.625m ± 168%
Cache/impl=cow/dist=zipf/mix=r90-4                10.60m ± 101%
Cache/impl=cow/dist=zipf/mix=r90-8                10.57m ± 147%
Cache/impl=cow/dist=zipf/mix=r50                  81.16m ±  33%
Cache/impl=cow/dist=zipf/mix=r50-2                56.66m ±  39%
Cache/impl=cow/dist=zipf/mix=r50-4                54.10m ±  39%
Cache/impl=cow/dist=zipf/mix=r50-8                53.58m ±  20%
Cache/impl=cow/dist=zipf/mix=r10                  134.3m ±  13%
Cache/impl=cow/dist=zipf/mix=r10-2                106.0m ±  10%
Cache/impl=cow/dist=zipf/mix=r10-4                97.38m ±   6%
Cache/impl=cow/dist=zipf/mix=r10-8                98.80m ±   8%
geomean                                           372.8n

                                            │ results/bench.txt │
                                            │       B/op        │
Cache/impl=mutex/dist=uniform/mix=r100           0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r100-2         0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r100-4         0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r100-8         0.000 ±   0%
Cache/impl=mutex/dist=uniform/mix=r90            0.000 ±   0%
